ClearingHouseId,ClearingHouseName,ClearingHouseShortname,ClearingHouseJurisdiction
549300VE86SBRUX48D51,ASX,ASX,AU
549300M28VLPFIT1EI11,EUREX_Clearing ,EUREX_Clearing ,EU
549300S8OX8KRY1LC777,LCH Clearnet Ltd,LCH Clearnet Ltd,EU
5493008I8OBCDX7R9S21,CME Clearing Europe,CME Clearing Europe,EU
54930047GYL4J3BBU620,ICE Clear Europe,ICE Clear Europe,EU
5493002KRYOWNYDHUF14,Japan Securities Clearing Corporation,JSCC,JP
549300K8T4AJO9KSBX72,HKEX,HKEX,HK
549300HWBQ155KL5RH57,CME Group,CME Group,US
549300QLG1EX0PHPC624,SGX,SGX,SG
